"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-01","0.18",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","43",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-02","0.55",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","37",",,0","37",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-03","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"37",",,0","29",",,0","30",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-04","0.00",",,0","0.0",",,0","0.0",",,0",,,"34",",,0","21",",,0","32",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-05","0.00",",,0","0.0",",,0","0.0",",,0",,,"50",",,0","28",",,0","45",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-06","0.00",",,0","0.0",",,0","0.0",",,0",,,"57",",,0","40",",,0","55",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-07","0.42",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","51",",,0","53",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-08","0.69",",,0","0.0",",,0","0.0",",,0",,,"59",",,0","39",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-09","0.35",",,0","0.0",",,0","0.0",",,0",,,"41",",,0","34",",,0","38",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-10","0.05",",,0","0.0",",,0","0.0",",,0",,,"38",",,0","22",",,0","24",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-11","0.00",",,0","0.0",",,0","0.0",",,0",,,"34",",,0","22",",,0","34",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-12","0.31",",,0","0.0",",,0","0.0",",,0",,,"50",",,0","34",",,0","49",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-13","0.73",",,0","0.0",",,0","0.0",",,0",,,"53",",,0","40",",,0","53",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-14","0.40",",,0","0.0",",,0","0.0",",,0",,,"61",",,0","52",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-15","0.00",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","25",",,0","25",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-16","0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"25",",,0","21",",,0","24",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-17","0.01",",,0","0.1",",,0","0.0","T,,0",,,"27",",,0","19",",,0","26",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-18","0.11",",,0","1.5",",,0","2.0",",,0",,,"26",",,0","-7",",,0","3",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-19","0.00",",,0","0.0",",,0","0.0",",,0",,,"18",",,0","-2",",,0","14",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-20","0.00","T,,0","0.0","T,,0","1.0",",,0",,,"21",",,0","5",",,0","21",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-21","0.12",",,0","1.5",",,0","3.0",",,0",,,"27",",,0","18",",,0","25",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-22","0.02",",,0","0.3",",,0","3.0",",,0",,,"25",",,0","9",",,0","12",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-23","0.00",",,0","0.0",",,0","3.0",",,0",,,"13",",,0","-8",",,0","10",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-24","0.00",",,0","0.0",",,0","2.0",",,0",,,"26",",,0","5",",,0","20",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-25","0.00","T,,0","0.0","T,,0","2.0",",,0",,,"26",",,0","13",",,0","17",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-26","0.01",",,0","0.3",",,0","1.0",",,0",,,"24",",,0","-2",",,0","24",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-27","0.02",",,0","0.3",",,0","1.0",",,0",,,"36",",,0","23",",,0","35",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-28","0.00",",,0","0.0",",,0","1.0",",,0",,,"35",",,0","22",",,0","22",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-29","0.00",",,0","0.0",",,0","0.0","T,,0",,,"22",",,0","7",",,0","19",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-30","0.00",",,0","0.0",",,0","0.0","T,,0",,,"31",",,0","9",",,0","27",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-01-31","0.02",",,0","0.2",",,0","0.0","T,,0",,,"32",",,0","23",",,0","29",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-01","0.00","T,,0","0.0",",,0","0.0",",,0",,,"39",",,0","24",",,0","38",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-02","0.02",",,0","0.0",",,0","0.0",",,0",,,"45",",,0","34",",,0","42",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-03","0.01",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","35",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-04","0.21",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","34",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-05","0.00",",,0","0.0",",,0","0.0",",,0",,,"39",",,0","29",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-06","0.00",",,0","0.0",",,0","0.0",",,0",,,"37",",,0","31",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-07","0.00",",,0","0.0",",,0","0.0",",,0",,,"37",",,0","29",",,0","30",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-08","0.00",",,0","0.0",",,0","0.0",",,0",,,"36",",,0","29",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-09","0.09",",,0","0.0",",,0","0.0",",,0",,,"47",",,0","29",",,0","35",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-10","0.00","T,,0","0.0",",,0","0.0",",,0",,,"35",",,0","26",",,0","27",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-11","0.00",",,0","0.0",",,0","0.0",",,0",,,"41",",,0","18",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-12","0.72",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","34",",,0","45",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-13","0.16",",,0","0.0",",,0","0.0",",,0",,,"46",",,0","32",",,0","32",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-14","0.00",",,0","0.0",",,0","0.0",",,0",,,"35",",,0","27",",,0","30",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-15","0.02",",,0","0.5",",,0","1.0",",,0",,,"30",",,0","14",",,0","14",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-16","0.00",",,0","0.0",",,0","0.0","T,,0",,,"26",",,0","4",",,0","25",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-17","0.00","T,,0","0.1",",,0","0.0","T,,0",,,"43",",,0","23",",,0","43",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-18","0.00",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","37",",,0","49",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-19","0.00",",,0","0.0",",,0","0.0",",,0",,,"66",",,0","36",",,0","59",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-20","0.00",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","46",",,0","59",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-21","0.00",",,0","0.0",",,0","0.0",",,0",,,"68",",,0","36",",,0","62",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-22","0.00",",,0","0.0",",,0","0.0",",,0",,,"70",",,0","44",",,0","61",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-23","0.48",",,0","0.0",",,0","0.0",",,0",,,"62",",,0","51",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-24","1.23",",,0","0.0",",,0","0.0",",,0",,,"65",",,0","46",",,0","64",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-25","0.06",",,0","0.0",",,0","0.0",",,0",,,"70",",,0","58",",,0","65",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-26","0.85",",,0","0.0",",,0","0.0",",,0",,,"65",",,0","44",",,0","44",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-27","0.00",",,0","0.0",",,0","0.0",",,0",,,"44",",,0","33",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-02-28","0.00",",,0","0.0",",,0","0.0",",,0",,,"45",",,0","28",",,0","42",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-01","0.09",",,0","0.0",",,0","0.0",",,0",,,"53",",,0","36",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-02","0.10",",,0","0.5",",,0","0.0","T,,0",,,"36",",,0","20",",,0","21",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-03","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"25",",,0","11",",,0","21",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-04","0.00","T,,0","0.1",",,0","0.0",",,0",,,"38",",,0","20",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-05","0.00",",,0","0.0",",,0","0.0",",,0",,,"49",",,0","31",",,0","43",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-06","0.00",",,0","0.0",",,0","0.0",",,0",,,"53",",,0","25",",,0","49",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-07","0.83",",,0","0.0",",,0","0.0",",,0",,,"49",",,0","39",",,0","40",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-08","0.07",",,0","0.0",",,0","0.0",",,0",,,"39",",,0","34",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-09","0.00",",,0","0.0",",,0","0.0",",,0",,,"49",",,0","27",",,0","46",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-10","0.00",",,0","0.0",",,0","0.0",",,0",,,"58",",,0","35",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-11","0.03",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","35",",,0","38",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-12","0.00",",,0","0.0",",,0","0.0",",,0",,,"48",",,0","33",",,0","46",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-13","0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","42",",,0","50",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-14","0.00",",,0","0.0",",,0","0.0",",,0",,,"50",",,0","28",",,0","40",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-15","0.00",",,0","0.0",",,0","0.0",",,0",,,"57",",,0","27",",,0","51",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-16","0.00",",,0","0.0",",,0","0.0",",,0",,,"71",",,0","33",",,0","64",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-17","0.00",",,0","0.0",",,0","0.0",",,0",,,"71",",,0","49",",,0","62",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-18","0.28",",,0","0.0",",,0","0.0",",,0",,,"62",",,0","33",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-19","0.00",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","28",",,0","38",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-20","0.00",",,0","0.0",",,0","0.0",",,0",,,"58",",,0","31",",,0","54",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-21","0.02",",,0","0.0",",,0","0.0",",,0",,,"54",",,0","28",",,0","32",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-22","0.00",",,0","0.0",",,0","0.0",",,0",,,"38",",,0","20",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-23","0.00",",,0","0.0",",,0","0.0",",,0",,,"52",",,0","22",",,0","49",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-24","0.16",",,0","0.0",",,0","0.0",",,0",,,"57",",,0","41",",,0","50",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-25","0.42",",,0","0.0",",,0","0.0",",,0",,,"52",",,0","40",",,0","41",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-26","0.10",",,0","1.0",",,0","1.0",",,0",,,"41",",,0","24",",,0","27",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-27","0.02",",,0","0.2",",,0","1.0",",,0",,,"35",",,0","27",",,0","33",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-28","0.00",",,0","0.0",",,0","0.0",",,0",,,"43",",,0","27",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-29","0.00",",,0","0.0",",,0","0.0",",,0",,,"47",",,0","29",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-30","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"40",",,0","30",",,0","36",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-03-31","0.00",",,0","0.0",",,0","0.0",",,0",,,"54",",,0","30",",,0","51",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-01","0.35",",,0","0.0",",,0","0.0",",,0",,,"61",",,0","42",",,0","44",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-02","0.00","T,,0","0.0",",,0","0.0",",,0",,,"50",",,0","29",",,0","45",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-03","0.00",",,0","0.0",",,0","0.0",",,0",,,"61",",,0","41",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-04","0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","32",",,0","54",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-05","0.00",",,0","0.0",",,0","0.0",",,0",,,"71",",,0","38",",,0","66",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-06","0.00","T,,0","0.0",",,0","0.0",",,0",,,"66",",,0","51",",,0","55",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-07","0.10",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","35",",,0","39",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-08","0.00",",,0","0.0",",,0","0.0",",,0",,,"51",",,0","31",",,0","47",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-09","0.00",",,0","0.0",",,0","0.0",",,0",,,"61",",,0","29",",,0","57",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-10","0.00",",,0","0.0",",,0","0.0",",,0",,,"79",",,0","40",",,0","73",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-11","0.00",",,0","0.0",",,0","0.0",",,0",,,"89",",,0","58",",,0","80",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-12","0.00",",,0","0.0",",,0","0.0",",,0",,,"86",",,0","59",",,0","78",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-13","0.08",",,0","0.0",",,0","0.0",",,0",,,"85",",,0","57",",,0","66",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-14","0.14",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","56",",,0","62",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-15","0.07",",,0","0.0",",,0","0.0",",,0",,,"62",",,0","45",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-16","0.21",",,0","0.0",",,0","0.0",",,0",,,"63",",,0","48",",,0","60",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-17","0.18",",,0","0.0",",,0","0.0",",,0",,,"81",",,0","59",",,0","75",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-18","0.24",",,0","0.0",",,0","0.0",",,0",,,"75",",,0","55",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-19","0.00",",,0","0.0",",,0","0.0",",,0",,,"59",",,0","41",",,0","56",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-20","0.00",",,0","0.0",",,0","0.0",",,0",,,"66",",,0","41",",,0","59",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-21","0.23",",,0","0.0",",,0","0.0",",,0",,,"61",",,0","52",",,0","55",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-22","0.00",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","43",",,0","43",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-23","0.00",",,0","0.0",",,0","0.0",",,0",,,"45",",,0","29",",,0","40",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1930-04-24","0.00",",,0","0.0",",,0","0.0",",,0",,,"43",",,0","28",",,0","42",",,0",,,,,,,,,,,,,,,,,,
