"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FRGB","FRGB_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-01",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","2.0",",,0",,,"19",",,0","2",",,0","17",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-02",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","2.0",",,0",,,"17",",,0","5",",,0","12",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-03",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","2.0",",,0",,,"19",",,0","4",",,0","15",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-04",,,,,,,,,,,,,,,,,,,"0.01",",,0","0.1",",,0","2.0",",,0",,,"24",",,0","9",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-05",,,,,,,,,,,,,,,,,,,"0.06",",,0","1.0",",,0","3.0",",,0",,,"25",",,0","0",",,0","7",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-06",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","3.0",",,0",,,"25",",,0","-1",",,0","17",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-07",,,,,,,,,,,,,,,,,,,"0.02",",,0","0.2",",,0","3.0",",,0",,,"25",",,0","3",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-08",,,,,,,,,,,,,,,,,,,"0.02",",,0","0.2",",,0","3.0",",,0",,,"28",",,0","18",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-09",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","3.0",",,0",,,"27",",,0","8",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-10",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","3.0",",,0",,,"31",",,0","17",",,0","30",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
