"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-01",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-02",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"83",",,0","56",",,0","78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-03",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"81",",,0","59",",,0","77",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-04",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"88",",,0","63",",,0","78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-05",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"88",",,0","64",",,0","76",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-06",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"77",",,0","49",",,0","66",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-07",,,,,,,,,,,,,,,,,,,,,"0.78",",,0","0.0",",,0","0.0",",,0",,,"66",",,0","45",",,0","45",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-08",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","40",",,0","47",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-09",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"59",",,0","29",",,0","51",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-10",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","33",",,0","54",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
