"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-01",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-02",,,,,,,,,,,,,,,"0.01",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-03",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-04",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-05",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-06",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-07",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-09",,,,,,,,,,,,,,,"0.43",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-10",,,,,,,,,,,,,,,"0.00","T,,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331777","COLUMBUS HAP CREMEAN WP, OH US","40.0604","-82.8941","253.3","1975-10-11",,,,,,,,,,,,,,,"0.00",",,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
